date,fund,asset_class,currency,type,amount,local_amount
2021-11-25,서해 에너지 5호,인프라,USD,집행,8,0.6
2021-12-04,한라 메자닌 4호,사모벤처,USD,집행,14,1.1
2021-12-05,백두 벤처 3호,사모벤처,KRW,분배,5,5
2021-12-06,설악 바이아웃 8호,사모벤처,EUR,집행,15,1.2
2021-12-07,남산 오피스 4호,부동산,KRW,집행,5,5
2021-12-07,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2021-12-08,판교 코어플러스 10호,부동산,KRW,집행,12,12
2021-12-11,태백 세컨더리 9호,사모벤처,KRW,집행,23,23
2021-12-12,호남 데이터센터 7호,인프라,USD,집행,9,0.7
2021-12-14,해운대 물류 1호,부동산,KRW,분배,3,3
2021-12-14,한라 메자닌 11호,사모벤처,KRW,집행,20,20
2021-12-15,한라 메자닌 4호,사모벤처,USD,분배,5,0.4
2021-12-15,호남 데이터센터 3호,인프라,USD,집행,5,0.4
2021-12-16,백두 벤처 10호,사모벤처,KRW,집행,12,12
2021-12-17,서해 에너지 1호,인프라,EUR,분배,4,0.3
2021-12-18,영남 교통 10호,인프라,KRW,약정,110,110
2021-12-20,영남 교통 6호,인프라,USD,집행,5,0.4
2021-12-21,서해 에너지 9호,인프라,KRW,집행,9,9
2021-12-21,지리 미드캡 5호,사모벤처,KRW,집행,17,17
2021-12-22,태백 세컨더리 16호,사모벤처,KRW,약정,290,290
2021-12-23,서해 에너지 1호,인프라,EUR,집행,5,0.4
2021-12-23,판교 코어플러스 6호,부동산,KRW,집행,13,13
2021-12-27,설악 바이아웃 1호,사모벤처,USD,분배,4,0.3
2022-01-03,해운대 물류 9호,부동산,KRW,집행,21,21
2022-01-05,서해 에너지 9호,인프라,KRW,집행,6,6
2022-01-09,지리 미드캡 12호,사모벤처,USD,집행,14,1.1
2022-01-14,백두 벤처 3호,사모벤처,KRW,분배,5,5
2022-01-14,백두 벤처 17호,사모벤처,KRW,약정,360,360
2022-01-14,남산 오피스 8호,부동산,EUR,집행,5,0.4
2022-01-16,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,8,0.6
2022-01-21,설악 바이아웃 15호,사모벤처,USD,집행,11,0.9
2022-01-21,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,5,5
2022-01-21,태백 세컨더리 9호,사모벤처,KRW,집행,11,11
2022-01-24,한강 그로스 14호,사모벤처,USD,집행,13,1.0
2022-01-25,태백 세컨더리 16호,사모벤처,KRW,집행,9,9
2022-01-26,영남 교통 6호,인프라,USD,분배,3,0.2
2022-01-26,백두 벤처 10호,사모벤처,KRW,집행,13,13
2022-01-26,송도 리츠 7호,부동산,KRW,집행,5,5
2022-01-27,한라 메자닌 4호,사모벤처,USD,분배,4,0.3
2022-01-27,태백 세컨더리 2호,사모벤처,KRW,집행,5,5
2022-02-04,한라 메자닌 11호,사모벤처,KRW,집행,21,21
2022-02-06,송도 리츠 3호,부동산,KRW,분배,3,3
2022-02-06,지리 미드캡 5호,사모벤처,KRW,분배,7,7
2022-02-06,설악 바이아웃 15호,사모벤처,USD,집행,5,0.4
2022-02-06,판교 코어플러스 10호,부동산,KRW,집행,24,24
2022-02-07,한강 그로스 7호,사모벤처,KRW,집행,13,13
2022-02-09,한강 그로스 14호,사모벤처,USD,집행,5,0.4
2022-02-11,해운대 물류 1호,부동산,KRW,분배,4,4
2022-02-14,백두 벤처 17호,사모벤처,KRW,집행,8,8
2022-02-19,남산 오피스 8호,부동산,EUR,집행,7,0.5
2022-02-19,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2022-02-20,지리 미드캡 12호,사모벤처,USD,집행,11,0.9
2022-02-21,설악 바이아웃 1호,사모벤처,USD,분배,4,0.3
2022-02-21,영남 교통 6호,인프라,USD,집행,9,0.7
2022-02-22,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2022-02-24,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,5,5
2022-02-25,영남 교통 6호,인프라,USD,분배,4,0.3
2022-02-25,설악 바이아웃 8호,사모벤처,EUR,집행,12,0.9
2022-02-25,해운대 물류 9호,부동산,KRW,집행,9,9
2022-03-03,한강 그로스 7호,사모벤처,KRW,분배,6,6
2022-03-04,송도 리츠 11호,부동산,USD,약정,230,18.1
2022-03-05,한라 메자닌 11호,사모벤처,KRW,집행,8,8
2022-03-06,남산 오피스 8호,부동산,EUR,집행,5,0.4
2022-03-06,설악 바이아웃 8호,사모벤처,EUR,집행,6,0.5
2022-03-07,태백 세컨더리 16호,사모벤처,KRW,집행,14,14
2022-03-07,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2022-03-08,송도 리츠 3호,부동산,KRW,집행,5,5
2022-03-09,판교 코어플러스 10호,부동산,KRW,집행,13,13
2022-03-10,태백 세컨더리 2호,사모벤처,KRW,분배,10,10
2022-03-11,서해 에너지 1호,인프라,EUR,분배,4,0.3
2022-03-11,영남 교통 10호,인프라,KRW,집행,5,5
2022-03-12,한강 그로스 14호,사모벤처,USD,집행,5,0.4
2022-03-15,태백 세컨더리 9호,사모벤처,KRW,집행,5,5
2022-03-16,지리 미드캡 5호,사모벤처,KRW,집행,10,10
2022-03-18,한라 메자닌 18호,사모벤처,USD,약정,300,23.6
2022-03-20,해운대 물류 1호,부동산,KRW,분배,3,3
2022-03-21,서해 에너지 1호,인프라,EUR,집행,6,0.5
2022-03-22,서해 에너지 9호,인프라,KRW,집행,11,11
2022-03-23,해운대 물류 9호,부동산,KRW,집행,8,8
2022-03-26,백두 벤처 17호,사모벤처,KRW,집행,10,10
2022-03-26,설악 바이아웃 15호,사모벤처,USD,집행,6,0.5
2022-03-27,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,16,1.3
2022-04-03,태백 세컨더리 16호,사모벤처,KRW,집행,7,7
2022-04-03,호남 데이터센터 7호,인프라,USD,집행,7,0.6
2022-04-08,동해 신재생 8호,인프라,KRW,집행,11,11
2022-04-08,한강 그로스 7호,사모벤처,KRW,집행,13,13
2022-04-10,설악 바이아웃 1호,사모벤처,USD,분배,3,0.2
2022-04-10,송도 리츠 3호,부동산,KRW,분배,3,3
2022-04-10,태백 세컨더리 9호,사모벤처,KRW,집행,6,6
2022-04-12,한강 그로스 7호,사모벤처,KRW,분배,10,10
2022-04-18,서해 에너지 9호,인프라,KRW,집행,6,6
2022-04-18,한강 그로스 14호,사모벤처,USD,집행,7,0.6
2022-04-19,남산 오피스 8호,부동산,EUR,집행,6,0.5
2022-04-20,백두 벤처 17호,사모벤처,KRW,집행,7,7
2022-04-21,지리 미드캡 12호,사모벤처,USD,집행,17,1.3
2022-04-22,태백 세컨더리 2호,사모벤처,KRW,분배,6,6
2022-04-27,백두 벤처 10호,사모벤처,KRW,집행,33,33
2022-05-03,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2022-05-04,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,16,1.3
2022-05-04,한라 메자닌 11호,사모벤처,KRW,집행,23,23
2022-05-06,판교 코어플러스 6호,부동산,KRW,집행,8,8
2022-05-07,지리 미드캡 12호,사모벤처,USD,집행,12,1.0
2022-05-07,한강 그로스 7호,사모벤처,KRW,집행,6,6
2022-05-10,백두 벤처 3호,사모벤처,KRW,분배,10,10
2022-05-11,백두 벤처 17호,사모벤처,KRW,집행,6,6
2022-05-11,설악 바이아웃 15호,사모벤처,USD,집행,6,0.5
2022-05-13,태백 세컨더리 9호,사모벤처,KRW,집행,5,5
2022-05-14,태백 세컨더리 2호,사모벤처,KRW,분배,9,9
2022-05-14,송도 리츠 11호,부동산,USD,집행,20,1.6
2022-05-19,태백 세컨더리 16호,사모벤처,KRW,집행,8,8
2022-05-20,송도 리츠 7호,부동산,KRW,집행,5,5
2022-05-21,백두 벤처 10호,사모벤처,KRW,집행,9,9
2022-05-22,설악 바이아웃 8호,사모벤처,EUR,분배,7,0.5
2022-05-22,지리 미드캡 5호,사모벤처,KRW,분배,10,10
2022-05-22,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,7,7
2022-05-23,해운대 물류 9호,부동산,KRW,집행,14,14
2022-05-24,영남 교통 6호,인프라,USD,분배,5,0.4
2022-05-25,서해 에너지 1호,인프라,EUR,분배,5,0.4
2022-05-25,판교 코어플러스 10호,부동산,KRW,집행,25,25
2022-05-25,한라 메자닌 18호,사모벤처,USD,집행,17,1.4
2022-05-26,한강 그로스 14호,사모벤처,USD,집행,5,0.4
2022-06-06,한라 메자닌 18호,사모벤처,USD,집행,6,0.5
2022-06-07,지리 미드캡 12호,사모벤처,USD,집행,10,0.8
2022-06-09,서해 에너지 1호,인프라,EUR,분배,4,0.3
2022-06-10,백두 벤처 3호,사모벤처,KRW,집행,7,7
2022-06-12,백두 벤처 17호,사모벤처,KRW,집행,8,8
2022-06-13,영남 교통 6호,인프라,USD,집행,9,0.7
2022-06-16,호남 데이터센터 11호,인프라,KRW,약정,270,270
2022-06-17,동해 신재생 8호,인프라,KRW,집행,8,8
2022-06-17,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2022-06-18,태백 세컨더리 16호,사모벤처,KRW,집행,9,9
2022-06-19,송도 리츠 11호,부동산,USD,집행,11,0.9
2022-06-20,한라 메자닌 4호,사모벤처,USD,분배,8,0.6
2022-06-21,영남 교통 10호,인프라,KRW,집행,6,6
2022-06-21,판교 코어플러스 10호,부동산,KRW,집행,7,7
2022-06-23,지리 미드캡 19호,사모벤처,KRW,약정,340,340
2022-06-24,설악 바이아웃 1호,사모벤처,USD,분배,6,0.5
2022-06-24,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2022-06-24,호남 데이터센터 7호,인프라,USD,집행,9,0.7
2022-06-25,백두 벤처 10호,사모벤처,KRW,집행,9,9
2022-06-27,태백 세컨더리 2호,사모벤처,KRW,분배,12,12
2022-06-27,한강 그로스 7호,사모벤처,KRW,분배,12,12
2022-07-03,백두 벤처 10호,사모벤처,KRW,집행,7,7
2022-07-04,백두 벤처 17호,사모벤처,KRW,집행,9,9
2022-07-06,설악 바이아웃 8호,사모벤처,EUR,분배,10,0.8
2022-07-07,설악 바이아웃 8호,사모벤처,EUR,집행,20,1.5
2022-07-07,해운대 물류 9호,부동산,KRW,집행,14,14
2022-07-10,한라 메자닌 18호,사모벤처,USD,집행,7,0.6
2022-07-11,영남 교통 6호,인프라,USD,분배,5,0.4
2022-07-12,한라 메자닌 11호,사모벤처,KRW,집행,7,7
2022-07-13,한강 그로스 14호,사모벤처,USD,집행,7,0.6
2022-07-15,호남 데이터센터 11호,인프라,KRW,집행,8,8
2022-07-16,태백 세컨더리 9호,사모벤처,KRW,집행,5,5
2022-07-18,송도 리츠 11호,부동산,USD,집행,8,0.6
2022-07-22,남산 오피스 8호,부동산,EUR,분배,3,0.2
2022-07-22,호남 데이터센터 7호,인프라,USD,집행,5,0.4
2022-07-23,송도 리츠 3호,부동산,KRW,분배,3,3
2022-07-23,서해 에너지 5호,인프라,USD,집행,5,0.4
2022-07-26,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,16,1.3
2022-07-27,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,10,10
2022-08-04,태백 세컨더리 9호,사모벤처,KRW,집행,8,8
2022-08-04,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2022-08-05,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,6,0.5
2022-08-06,한강 그로스 7호,사모벤처,KRW,집행,9,9
2022-08-07,영남 교통 2호,인프라,USD,분배,3,0.2
2022-08-07,송도 리츠 11호,부동산,USD,집행,11,0.9
2022-08-08,서해 에너지 9호,인프라,KRW,집행,19,19
2022-08-09,지리 미드캡 12호,사모벤처,USD,집행,15,1.2
2022-08-09,한라 메자닌 4호,사모벤처,USD,집행,8,0.6
2022-08-11,판교 코어플러스 10호,부동산,KRW,집행,19,19
2022-08-14,영남 교통 6호,인프라,USD,집행,7,0.6
2022-08-17,영남 교통 6호,인프라,USD,분배,3,0.2
2022-08-22,동해 신재생 8호,인프라,KRW,집행,8,8
2022-08-24,지리 미드캡 19호,사모벤처,KRW,집행,16,16
2022-08-27,호남 데이터센터 11호,인프라,KRW,집행,8,8
2022-09-03,송도 리츠 3호,부동산,KRW,분배,3,3
2022-09-03,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2022-09-03,한라 메자닌 11호,사모벤처,KRW,집행,6,6
2022-09-04,태백 세컨더리 9호,사모벤처,KRW,분배,10,10
2022-09-05,백두 벤처 3호,사모벤처,KRW,분배,12,12
2022-09-05,태백 세컨더리 9호,사모벤처,KRW,집행,5,5
2022-09-06,영남 교통 2호,인프라,USD,분배,4,0.3
2022-09-07,영남 교통 6호,인프라,USD,분배,5,0.4
2022-09-07,설악 바이아웃 15호,사모벤처,USD,집행,21,1.6
2022-09-09,서해 에너지 9호,인프라,KRW,집행,6,6
2022-09-11,백두 벤처 10호,사모벤처,KRW,집행,19,19
2022-09-13,설악 바이아웃 8호,사모벤처,EUR,분배,16,1.2
2022-09-13,동해 신재생 12호,인프라,KRW,약정,210,210
2022-09-13,영남 교통 2호,인프라,USD,집행,6,0.5
2022-09-15,판교 코어플러스 10호,부동산,KRW,집행,8,8
2022-09-17,호남 데이터센터 11호,인프라,KRW,집행,8,8
2022-09-18,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,10,0.8
2022-09-19,서해 에너지 1호,인프라,EUR,집행,6,0.4
2022-09-21,판교 코어플러스 10호,부동산,KRW,분배,3,3
2022-09-22,해운대 물류 9호,부동산,KRW,집행,13,13
2022-09-25,태백 세컨더리 16호,사모벤처,KRW,집행,25,25
2022-09-26,해운대 물류 1호,부동산,KRW,분배,3,3
2022-10-03,지리 미드캡 19호,사모벤처,KRW,집행,18,18
2022-10-03,판교 코어플러스 10호,부동산,KRW,집행,9,9
2022-10-07,해운대 물류 1호,부동산,KRW,분배,4,4
2022-10-07,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2022-10-08,백두 벤처 3호,사모벤처,KRW,분배,11,11
2022-10-08,영남 교통 6호,인프라,USD,분배,5,0.4
2022-10-11,영남 교통 10호,인프라,KRW,집행,9,9
2022-10-12,백두 벤처 10호,사모벤처,KRW,집행,10,10
2022-10-13,백두 벤처 10호,사모벤처,KRW,분배,16,16
2022-10-13,지리 미드캡 5호,사모벤처,KRW,분배,14,14
2022-10-13,판교 코어플러스 6호,부동산,KRW,분배,3,3
2022-10-13,설악 바이아웃 8호,사모벤처,EUR,집행,5,0.4
2022-10-13,한라 메자닌 18호,사모벤처,USD,집행,25,1.9
2022-10-14,서해 에너지 1호,인프라,EUR,분배,3,0.2
2022-10-14,동해 신재생 12호,인프라,KRW,집행,5,5
2022-10-15,송도 리츠 11호,부동산,USD,집행,20,1.5
2022-10-19,설악 바이아웃 1호,사모벤처,USD,분배,6,0.5
2022-10-24,송도 리츠 3호,부동산,KRW,분배,3,3
2022-10-24,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,6,6
2022-10-27,판교 코어플러스 6호,부동산,KRW,집행,6,6
2022-10-27,한라 메자닌 4호,사모벤처,USD,집행,5,0.4
2022-11-05,태백 세컨더리 9호,사모벤처,KRW,분배,14,14
2022-11-06,한강 그로스 14호,사모벤처,USD,집행,25,1.9
2022-11-07,백두 벤처 10호,사모벤처,KRW,집행,8,8
2022-11-07,설악 바이아웃 15호,사모벤처,USD,집행,9,0.7
2022-11-09,송도 리츠 11호,부동산,USD,집행,9,0.7
2022-11-10,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2022-11-11,백두 벤처 17호,사모벤처,KRW,집행,40,40
2022-11-11,서해 에너지 9호,인프라,KRW,집행,9,9
2022-11-12,해운대 물류 9호,부동산,KRW,집행,12,12
2022-11-12,호남 데이터센터 7호,인프라,USD,집행,11,0.9
2022-11-14,설악 바이아웃 8호,사모벤처,EUR,분배,7,0.5
2022-11-15,지리 미드캡 19호,사모벤처,KRW,집행,8,8
2022-11-16,영남 교통 6호,인프라,USD,집행,7,0.5
2022-11-17,해운대 물류 9호,부동산,KRW,분배,3,3
2022-11-17,판교 코어플러스 10호,부동산,KRW,집행,8,8
2022-11-18,동해 신재생 12호,인프라,KRW,집행,6,6
2022-11-18,서해 에너지 5호,인프라,USD,집행,6,0.5
2022-11-18,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2022-11-18,한라 메자닌 11호,사모벤처,KRW,집행,16,16
2022-11-25,태백 세컨더리 16호,사모벤처,KRW,집행,15,15
2022-11-26,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2022-12-06,한강 그로스 14호,사모벤처,USD,집행,6,0.5
2022-12-09,한강 그로스 7호,사모벤처,KRW,분배,14,14
2022-12-14,설악 바이아웃 15호,사모벤처,USD,집행,5,0.4
2022-12-15,백두 벤처 17호,사모벤처,KRW,집행,9,9
2022-12-15,판교 코어플러스 10호,부동산,KRW,집행,7,7
2022-12-16,해운대 물류 9호,부동산,KRW,집행,7,7
2022-12-17,서해 에너지 1호,인프라,EUR,분배,4,0.3
2022-12-17,오대 스페셜시츄에이션 20호,사모벤처,KRW,약정,450,450
2022-12-18,설악 바이아웃 8호,사모벤처,EUR,집행,6,0.4
2022-12-21,남산 오피스 12호,부동산,USD,약정,250,19.6
2022-12-22,한라 메자닌 18호,사모벤처,USD,집행,15,1.2
2022-12-24,태백 세컨더리 2호,사모벤처,KRW,분배,10,10
2022-12-25,설악 바이아웃 8호,사모벤처,EUR,분배,13,1.0
2023-01-03,영남 교통 10호,인프라,KRW,집행,7,7
2023-01-04,영남 교통 2호,인프라,USD,분배,3,0.2
2023-01-06,동해 신재생 4호,인프라,USD,집행,5,0.4
2023-01-06,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,16,1.2
2023-01-06,오대 스페셜시츄에이션 6호,사모벤처,KRW,집행,6,6
2023-01-07,백두 벤처 3호,사모벤처,KRW,분배,10,10
2023-01-09,설악 바이아웃 8호,사모벤처,EUR,분배,12,0.9
2023-01-09,한강 그로스 14호,사모벤처,USD,집행,5,0.4
2023-01-10,판교 코어플러스 10호,부동산,KRW,분배,3,3
2023-01-10,백두 벤처 17호,사모벤처,KRW,집행,11,11
2023-01-11,서해 에너지 9호,인프라,KRW,집행,10,10
2023-01-13,송도 리츠 3호,부동산,KRW,분배,3,3
2023-01-13,태백 세컨더리 2호,사모벤처,KRW,분배,14,14
2023-01-16,태백 세컨더리 9호,사모벤처,KRW,분배,15,15
2023-01-18,해운대 물류 9호,부동산,KRW,집행,6,6
2023-01-20,지리 미드캡 12호,사모벤처,USD,집행,53,4.1
2023-01-22,지리 미드캡 19호,사모벤처,KRW,집행,13,13
2023-01-23,해운대 물류 1호,부동산,KRW,분배,4,4
2023-01-24,해운대 물류 9호,부동산,KRW,분배,4,4
2023-01-24,송도 리츠 11호,부동산,USD,집행,21,1.6
2023-01-24,태백 세컨더리 16호,사모벤처,KRW,집행,15,15
2023-01-25,한강 그로스 21호,사모벤처,EUR,약정,460,33.3
2023-01-25,한라 메자닌 11호,사모벤처,KRW,집행,16,16
2023-01-26,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,6,6
2023-01-27,설악 바이아웃 15호,사모벤처,USD,집행,5,0.4
2023-02-04,태백 세컨더리 9호,사모벤처,KRW,집행,31,31
2023-02-05,백두 벤처 17호,사모벤처,KRW,집행,12,12
2023-02-05,태백 세컨더리 16호,사모벤처,KRW,집행,9,9
2023-02-07,한강 그로스 14호,사모벤처,USD,집행,7,0.5
2023-02-08,설악 바이아웃 15호,사모벤처,USD,집행,5,0.4
2023-02-09,설악 바이아웃 1호,사모벤처,USD,분배,3,0.2
2023-02-10,오대 스페셜시츄에이션 20호,사모벤처,KRW,집행,22,22
2023-02-11,한라 메자닌 11호,사모벤처,KRW,분배,12,12
2023-02-12,송도 리츠 3호,부동산,KRW,분배,3,3
2023-02-12,한라 메자닌 18호,사모벤처,USD,집행,15,1.2
2023-02-12,호남 데이터센터 7호,인프라,USD,집행,8,0.6
2023-02-14,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2023-02-16,동해 신재생 8호,인프라,KRW,집행,15,15
2023-02-17,태백 세컨더리 2호,사모벤처,KRW,분배,11,11
2023-02-17,해운대 물류 13호,부동산,EUR,약정,200,14.7
2023-02-18,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2023-02-18,남산 오피스 12호,부동산,USD,집행,23,1.8
2023-02-19,한라 메자닌 11호,사모벤처,KRW,집행,9,9
2023-02-19,해운대 물류 9호,부동산,KRW,집행,6,6
2023-02-20,남산 오피스 8호,부동산,EUR,분배,3,0.2
2023-02-20,해운대 물류 1호,부동산,KRW,분배,4,4
2023-02-20,영남 교통 6호,인프라,USD,집행,5,0.4
2023-02-24,지리 미드캡 19호,사모벤처,KRW,집행,11,11
2023-02-25,판교 코어플러스 6호,부동산,KRW,분배,3,3
2023-02-25,송도 리츠 11호,부동산,USD,집행,13,1.0
2023-03-04,한라 메자닌 4호,사모벤처,USD,분배,12,0.9
2023-03-06,태백 세컨더리 16호,사모벤처,KRW,집행,8,8
2023-03-08,한라 메자닌 11호,사모벤처,KRW,집행,7,7
2023-03-08,한라 메자닌 18호,사모벤처,USD,집행,7,0.5
2023-03-09,백두 벤처 17호,사모벤처,KRW,집행,11,11
2023-03-14,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,9,9
2023-03-14,지리 미드캡 5호,사모벤처,KRW,집행,5,5
2023-03-16,판교 코어플러스 2호,부동산,USD,분배,3,0.2
2023-03-16,호남 데이터센터 7호,인프라,USD,분배,5,0.4
2023-03-16,지리 미드캡 12호,사모벤처,USD,집행,16,1.2
2023-03-17,해운대 물류 13호,부동산,EUR,집행,7,0.5
2023-03-18,남산 오피스 8호,부동산,EUR,분배,3,0.2
2023-03-18,판교 코어플러스 10호,부동산,KRW,집행,24,24
2023-03-19,지리 미드캡 5호,사모벤처,KRW,분배,12,12
2023-03-20,판교 코어플러스 6호,부동산,KRW,분배,3,3
2023-03-20,백두 벤처 10호,사모벤처,KRW,집행,32,32
2023-03-21,설악 바이아웃 22호,사모벤처,USD,약정,350,26.9
2023-03-21,호남 데이터센터 11호,인프라,KRW,집행,39,39
2023-03-22,송도 리츠 11호,부동산,USD,집행,12,0.9
2023-03-24,서해 에너지 9호,인프라,KRW,집행,10,10
2023-03-25,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,7,0.5
2023-03-26,송도 리츠 3호,부동산,KRW,분배,3,3
2023-03-26,한강 그로스 7호,사모벤처,KRW,집행,10,10
2023-04-03,동해 신재생 12호,인프라,KRW,집행,21,21
2023-04-03,판교 코어플러스 10호,부동산,KRW,집행,11,11
2023-04-05,판교 코어플러스 10호,부동산,KRW,분배,4,4
2023-04-05,백두 벤처 10호,사모벤처,KRW,집행,10,10
2023-04-06,해운대 물류 9호,부동산,KRW,분배,3,3
2023-04-06,한강 그로스 21호,사모벤처,EUR,집행,34,2.5
2023-04-06,한라 메자닌 11호,사모벤처,KRW,집행,8,8
2023-04-07,남산 오피스 8호,부동산,EUR,분배,3,0.2
2023-04-08,송도 리츠 3호,부동산,KRW,분배,3,3
2023-04-08,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2023-04-09,호남 데이터센터 11호,인프라,KRW,집행,7,7
2023-04-11,한강 그로스 7호,사모벤처,KRW,분배,15,15
2023-04-11,한라 메자닌 4호,사모벤처,USD,분배,10,0.8
2023-04-11,백두 벤처 17호,사모벤처,KRW,집행,8,8
2023-04-12,판교 코어플러스 14호,부동산,USD,약정,210,16.3
2023-04-13,해운대 물류 13호,부동산,EUR,집행,8,0.6
2023-04-15,송도 리츠 11호,부동산,USD,집행,6,0.5
2023-04-16,한강 그로스 14호,사모벤처,USD,집행,13,1.0
2023-04-18,설악 바이아웃 22호,사모벤처,USD,집행,11,0.9
2023-04-20,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,6,0.5
2023-04-23,서해 에너지 9호,인프라,KRW,집행,5,5
2023-04-23,태백 세컨더리 16호,사모벤처,KRW,집행,9,9
2023-04-24,영남 교통 6호,인프라,USD,분배,6,0.5
2023-04-26,설악 바이아웃 8호,사모벤처,EUR,분배,12,0.9
2023-04-26,남산 오피스 12호,부동산,USD,집행,24,1.9
2023-04-27,한라 메자닌 18호,사모벤처,USD,집행,7,0.5
2023-05-03,판교 코어플러스 10호,부동산,KRW,분배,4,4
2023-05-04,해운대 물류 13호,부동산,EUR,집행,10,0.7
2023-05-05,서해 에너지 1호,인프라,EUR,분배,3,0.2
2023-05-08,한라 메자닌 4호,사모벤처,USD,분배,8,0.6
2023-05-11,백두 벤처 17호,사모벤처,KRW,집행,12,12
2023-05-11,송도 리츠 11호,부동산,USD,집행,8,0.6
2023-05-11,한라 메자닌 18호,사모벤처,USD,집행,6,0.5
2023-05-12,남산 오피스 12호,부동산,USD,집행,14,1.1
2023-05-13,태백 세컨더리 16호,사모벤처,KRW,집행,10,10
2023-05-13,판교 코어플러스 10호,부동산,KRW,집행,8,8
2023-05-14,오대 스페셜시츄에이션 20호,사모벤처,KRW,집행,36,36
2023-05-15,태백 세컨더리 2호,사모벤처,KRW,분배,12,12
2023-05-15,동해 신재생 12호,인프라,KRW,집행,5,5
2023-05-16,설악 바이아웃 15호,사모벤처,USD,집행,16,1.2
2023-05-20,해운대 물류 9호,부동산,KRW,분배,4,4
2023-05-21,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,6,0.5
2023-05-22,판교 코어플러스 2호,부동산,USD,분배,4,0.3
2023-05-23,지리 미드캡 5호,사모벤처,KRW,분배,10,10
2023-05-23,판교 코어플러스 14호,부동산,USD,집행,10,0.8
2023-05-23,한라 메자닌 11호,사모벤처,KRW,집행,7,7
2023-05-25,오대 스페셜시츄에이션 6호,사모벤처,KRW,분배,14,14
2023-05-25,해운대 물류 1호,부동산,KRW,분배,3,3
2023-05-25,지리 미드캡 19호,사모벤처,KRW,집행,25,25
2023-05-26,동해 신재생 4호,인프라,USD,집행,6,0.5
2023-05-26,서해 에너지 9호,인프라,KRW,집행,5,5
2023-05-27,백두 벤처 10호,사모벤처,KRW,분배,26,26
2023-06-03,해운대 물류 9호,부동산,KRW,집행,6,6
2023-06-07,태백 세컨더리 9호,사모벤처,KRW,분배,16,16
2023-06-07,동해 신재생 12호,인프라,KRW,집행,5,5
2023-06-07,설악 바이아웃 15호,사모벤처,USD,집행,5,0.4
2023-06-07,해운대 물류 13호,부동산,EUR,집행,11,0.8
2023-06-08,지리 미드캡 5호,사모벤처,KRW,분배,9,9
2023-06-08,설악 바이아웃 8호,사모벤처,EUR,집행,8,0.6
2023-06-09,남산 오피스 12호,부동산,USD,집행,13,1.0
2023-06-09,태백 세컨더리 16호,사모벤처,KRW,집행,8,8
2023-06-10,설악 바이아웃 22호,사모벤처,USD,집행,20,1.6
2023-06-13,오대 스페셜시츄에이션 20호,사모벤처,KRW,집행,13,13
2023-06-18,송도 리츠 3호,부동산,KRW,분배,3,3
2023-06-19,서해 에너지 1호,인프라,EUR,분배,3,0.2
2023-06-19,한라 메자닌 4호,사모벤처,USD,분배,7,0.6
2023-06-20,오대 스페셜시츄에이션 13호,사모벤처,USD,집행,6,0.5
2023-06-22,백두 벤처 17호,사모벤처,KRW,집행,9,9
2023-06-23,한강 그로스 21호,사모벤처,EUR,집행,20,1.4
2023-06-23,한라 메자닌 11호,사모벤처,KRW,집행,5,5
2023-06-24,영남 교통 6호,인프라,USD,분배,3,0.2
2023-06-27,한강 그로스 14호,사모벤처,USD,집행,13,1.0
2023-07-03,한라 메자닌 18호,사모벤처,USD,집행,15,1.2
2023-07-04,호남 데이터센터 11호,인프라,KRW,집행,20,20
2023-07-05,태백 세컨더리 2호,사모벤처,KRW,분배,6,6
2023-07-06,남산 오피스 8호,부동산,EUR,분배,3,0.2
